,Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor
1302,1302,Intel Core i5-5200U,CPU,2015-03-01,14.0,15.0,,,2200.0,Intel,Intel
1303,1303,Intel Core i9-9900X,CPU,2018-10-19,14.0,165.0,,,3500.0,Intel,Intel
1304,1304,AMD Opteron 244,CPU,2003-04-22,130.0,85.0,193.0,106.0,1800.0,Unknown,AMD
1305,1305,Intel Xeon E5-2643 v2,CPU,2013-09-01,22.0,130.0,160.0,1400.0,3500.0,Intel,Intel
1306,1306,Intel Celeron 2955U,CPU,2013-09-01,22.0,15.0,118.0,1400.0,1400.0,Intel,Intel
1307,1307,AMD Phenom II X4 905e,CPU,2009-06-02,45.0,65.0,258.0,758.0,2500.0,Unknown,AMD
1308,1308,Intel Atom Z520,CPU,2008-04-02,45.0,2.0,26.0,47.0,1334.0,Intel,Intel
1309,1309,AMD Athlon XP 2400+,CPU,2003-09-01,130.0,68.0,,63.0,2000.0,Unknown,AMD
1310,1310,AMD Sempron 2600+,CPU,2004-07-28,130.0,62.0,80.0,37.0,1833.0,Unknown,AMD
1311,1311,Intel Pentium III 1133,CPU,2000-07-31,180.0,29.0,80.0,44.0,1133.0,Intel,Intel
1312,1312,Intel Core i3-2120,CPU,2011-02-20,32.0,65.0,131.0,504.0,3300.0,Intel,Intel
1313,1313,Intel Xeon 3.6,CPU,2005-02-14,90.0,135.0,169.0,178.0,3600.0,Intel,Intel
1314,1314,Intel Celeron G550,CPU,2012-06-01,32.0,65.0,131.0,504.0,2600.0,Intel,Intel
1315,1315,Intel Xeon E7-4809 v3,CPU,2015-06-01,22.0,115.0,160.0,1400.0,2000.0,Intel,Intel
1316,1316,Intel Xeon E7-4820 v3,CPU,2015-06-01,22.0,115.0,160.0,1400.0,1900.0,Intel,Intel
1317,1317,Intel Core i7-4710HQ,CPU,2014-04-01,22.0,47.0,264.0,1400.0,2500.0,Intel,Intel
1318,1318,AMD Sempron 3200+,CPU,2006-05-23,90.0,62.0,103.0,81.0,1800.0,Unknown,AMD
1319,1319,AMD Athlon II X3 435,CPU,2009-10-09,45.0,95.0,169.0,300.0,2900.0,Unknown,AMD
1320,1320,Intel Xeon E3-1225 v2,CPU,2012-05-14,22.0,77.0,160.0,1400.0,3200.0,Intel,Intel
1321,1321,Intel Core i7-6900K,CPU,2016-05-31,14.0,140.0,,,3200.0,Intel,Intel
1322,1322,Intel Core i5-11400,CPU,2021-03-16,14.0,65.0,,,2600.0,Intel,Intel
1323,1323,Intel Pentium 4 HT 670,CPU,2005-05-26,90.0,84.0,109.0,169.0,3800.0,Intel,Intel
1324,1324,AMD FX-6100,CPU,2011-10-12,32.0,95.0,315.0,1200.0,3300.0,Unknown,AMD
1325,1325,AMD Athlon 64 X2 3600+,CPU,2001-01-01,90.0,89.0,156.0,154.0,2000.0,Unknown,AMD
1326,1326,Intel Xeon 5060,CPU,2006-05-23,65.0,130.0,,,3200.0,Intel,Intel
1327,1327,AMD Mobile Athlon 64 2700+,CPU,2005-08-01,130.0,35.0,193.0,106.0,1600.0,Unknown,AMD
1328,1328,Intel Xeon E5-2650L v2,CPU,2013-09-01,22.0,70.0,160.0,1400.0,1700.0,Intel,Intel
1329,1329,Intel Core i5-661,CPU,2010-01-07,32.0,87.0,81.0,382.0,3333.0,Intel,Intel
1330,1330,AMD Athlon 64 3800+,CPU,2005-04-04,90.0,89.0,83.0,69.0,2400.0,Unknown,AMD
